systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
167796,050706,109,,3624193,Næsbyholm voldsted,Fortidsminde/lokalt kaldenavn,1,26473,Borg/Voldsted,HXXX,Historisk Tid,1067,2009,Næstved,370,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/167796/              ,11.6023920984227,55.3684699409777
167796,050706,109,,3624193,Næsbyholm voldsted,Fortidsminde/lokalt kaldenavn,2,26525,Voldgrav,HXXX,Historisk Tid,1067,2009,Næstved,370,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/167796/              ,11.6023920984227,55.3684699409777
167798,070410,29,,432118,Asserstrup voldsted,Fortidsminde/lokalt kaldenavn,1,26473,Borg/Voldsted,HXXX,Historisk Tid,1067,2009,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/167798/              ,11.1136592347453,54.8822929008448
167988,170306,20,,32116,Trelde,Uspecificeret,1,26473,Borg/Voldsted,HXXX,Historisk Tid,1067,2009,Fredericia,607,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/167988/              ,9.7722078629128,55.6161757541049
167994,170815,40,,31102,Rosborg,Uspecificeret,1,26473,Borg/Voldsted,HXXX,Historisk Tid,1067,2009,Vejle,630,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/167994/              ,9.51169905976105,55.7050491893734
168408,190302,107,,350739,Sønderskovgårds Voldsted,"Ejendom, gård, hus",1,26473,Borg/Voldsted,HXXX,Historisk Tid,1400,1660,Vejen,575,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/168408/              ,9.03775930927481,55.4518144949835
168408,190302,107,,350739,Sønderskovgårds Voldsted,"Ejendom, gård, hus",2,26525,Voldgrav,HXXX,Historisk Tid,1400,1660,Vejen,575,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/168408/              ,9.03775930927481,55.4518144949835
168408,190302,107,,350739,Sønderskovgårds Voldsted,"Ejendom, gård, hus",3,03030,Bygning,FXXX,Nyere tid,1661,2012,Vejen,575,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/168408/              ,9.03775930927481,55.4518144949835
168408,190302,107,,350739,Sønderskovgårds Voldsted,"Ejendom, gård, hus",4,15425,Gårdsplads,FXXX,Nyere tid,1661,1848,Vejen,575,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/168408/              ,9.03775930927481,55.4518144949835
171224,170601,325,,310927,Ravning Enge broen,Fortidsminde/lokalt kaldenavn,1,10023,Bro,CYVX,Vikingetid,900,1066,Vejle,630,2,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/171224/              ,9.34629554353299,55.6705354225696
